Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
17262203,"MaddAddam (MaddAddam, #3)",Margaret Atwood,"Atwood, Margaret",,"=""0385528787""","=""9780385528788""",3,4.02,Nan A. Talese,Hardcover,394,2013,2013,2023/03/14,2023/03/14,,,read,,,,1,0
56280021,Facing Reality: Two Truths about Race in America,Charles Murray,"Murray, Charles",,"=""1641771976""","=""9781641771979""",5,4.10,Encounter Books,Hardcover,157,2021,2021,2023/03/12,2023/03/12,,,read,,,,1,0
6080337,"The Year of the Flood (MaddAddam, #2)",Margaret Atwood,"Atwood, Margaret",,"=""0385528779""","=""9780385528771""",4,4.06,Doubleday Nan A. Talese,Hardcover,431,2009,2009,2023/03/09,2023/03/09,,,read,,,,1,0
78435,Oryx and Crake,Margaret Atwood,"Atwood, Margaret",,"=""0385503857""","=""9780385503853""",5,4.01,Nan A. Talese,Hardcover,376,2003,2003,2023/03/04,2023/03/04,,,read,,,,1,0
39718765,"Last Argument of Kings (The First Law, #3)",Joe Abercrombie,"Abercrombie, Joe",,"=""1473223709""","=""9781473223707""",4,4.34,Gollancz,Hardcover,672,2018,2008,2023/02/16,2023/02/16,,,read,,,,1,0
35914522,"Before They Are Hanged (The First Law, #2)",Joe Abercrombie,"Abercrombie, Joe",,"=""1473223024""","=""9781473223028""",4,4.35,Gollancz,Hardcover,608,2017,2007,2023/01/29,2023/01/29,,,read,,,,1,0
57229750,"On Revision: The Only Writing That Counts (Chicago Guides to Writing, Editing, and Publishing)",William Germano,"Germano, William",,"=""022641065X""","=""9780226410654""",3,4.00,University of Chicago Press,Paperback,208,2021,,2023/01/27,2023/01/27,,,read,,,,1,0
46216797,Stoner,John  Williams,"Williams, John",John McGahern,"=""1681374579""","=""9781681374574""",4,4.33,NYRB Classics,Hardcover,336,2019,1965,2023/01/19,2023/01/19,,,read,,,,1,0
28561882,The Academic Job Search Handbook,Julia Miller Vick,"Vick, Julia Miller",,"=""0812223403""","=""9780812223408""",4,3.73,University of Pennsylvania Press,Paperback,392,2016,2008,2023/01/14,2023/01/14,,,read,,,,1,0
30736894,"The Blade Itself (The First Law, #1)",Joe Abercrombie,"Abercrombie, Joe",,"=""1473216788""","=""9781473216785""",4,4.21,Gollancz,Hardcover,609,2016,2006,2023/01/14,2023/01/14,,,read,,,,1,0
919458,East of Eden,John Steinbeck,"Steinbeck, John",,"=""0670033049""","=""9780670033041""",5,4.41,Viking,Hardcover,601,2003,1952,2022/12/28,2022/12/28,,,read,,,,1,0
55959478,The Best American Science Fiction and Fantasy 2021,Veronica Roth,"Roth, Veronica",John Joseph Adams,"=""0358469961""","=""9780358469964""",2,3.82,Mariner Books,Paperback,432,2021,2021,2022/12/27,2022/12/27,,,read,,,,1,0
25126763,"Take Off Your Pants! Outline Your Books for Faster, Better Writing",Libbie Hawker,"Hawker, Libbie",,"=""""","=""""",3,4.24,Running Rabbit Press,Kindle Edition,108,2015,2015,2022/12/25,2022/12/25,,,read,,,,1,0
32336647,Air & Light & Time & Space: How Successful Academics Write,Helen Sword,"Sword, Helen",,"=""0674737709""","=""9780674737709""",3,3.97,Harvard University Press,Hardcover,266,2017,,2022/12/18,2022/12/18,,,read,,,,1,0
30698254,"Assassin's Fate (The Fitz and the Fool, #3)",Robin Hobb,"Hobb, Robin",,"=""0553392972""","=""""",5,4.65,Del Rey,Kindle Edition,952,2017,2017,2022/12/16,2022/12/16,,,read,,,,1,0
40610956,"Fool's Quest  (The Fitz and the Fool, #2)",Robin Hobb,"Hobb, Robin",,"=""""","=""""",4,4.52,Del Rey,Kindle Edition,757,2015,2015,2022/12/04,2022/12/04,,,read,,,,1,0
34778,"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,"Rice, Anne",,"=""0394498216""","=""9780394498218""",4,4.02,Alfred A. Knopf,Hardcover,340,1994,1976,2014/08/24,2014/08/24,,,read,,,,2,0
41021196,"Fool's Assassin (The Fitz and the Fool, #1)",Robin Hobb,"Hobb, Robin",,"=""""","=""""",4,4.41,Del Rey,Kindle Edition,706,2014,2014,2022/11/21,2022/11/21,,,read,,,,1,0
26236942,Storm of Steel,Ernst Jünger,"Jünger, Ernst","Michael Hofmann, Karl Marlantes, Neil Gower","=""0143108255""","=""9780143108252""",4,4.14,Penguin Classics,Paperback,320,2016,,2022/10/31,2022/10/31,,,read,,,,1,0
37824479,All Quiet on the Western Front,Erich Maria Remarque,"Remarque, Erich Maria","Brian Murdoch, Norman Stone","=""1101908084""","=""9781101908082""",4,4.07,Everyman's Library,Hardcover,249,2018,1928,2022/10/27,2022/10/27,,,read,,,,1,0
39809424,Style and Story: Literary Methods for Writing Nonfiction,Stephen J. Pyne,"Pyne, Stephen J.",,"=""0816537895""","=""9780816537891""",3,3.08,University of Arizona Press,Paperback,216,2018,,2022/10/24,2022/10/24,,,read,,,,1,0
35012103,It,Stephen King,"King, Stephen",,"=""1501182099""","=""9781501182099""",4,4.24,Scribner,Hardcover,1156,2017,1986,2022/10/23,2022/10/23,,,read,,,,1,0
10141030,Voice and Vision: A Guide to Writing History and Other Serious Nonfiction,Stephen J. Pyne,"Pyne, Stephen J.","S. Charles, Ian Jorge, H. Joseph","=""0674060423""","=""9780674060425""",3,3.39,Harvard University Press,Paperback,336,2011,2009,2022/10/20,2022/10/20,,,read,,,,1,0
18775596,"GRE Geometry, Guide 3",Manhattan Prep,"Prep, Manhattan",,"=""1937707857""","=""9781937707859""",3,4.17,Manhattan Prep Publishing,Paperback,264,2014,2010,2016/03/19,2016/03/19,,,read,,,,1,0
18775612,GRE Quantitative Comparisons & Data Interpretation (Manhattan Prep GRE Strategy Guides),Manhattan Prep,"Prep, Manhattan",,"=""1937707873""","=""9781937707873""",4,4.12,Manhattan Prep Publishing,Paperback,192,2014,2010,2016/03/27,2016/03/27,,,read,,,,1,0
57951331,"The Jade Setter of Janloon (The Green Bone Saga, #0.5)",Fonda Lee,"Lee, Fonda",,"=""1645240622""","=""9781645240624""",4,4.32,Subterranean Press,Hardcover,144,2022,2022,2022/10/01,2022/09/30,,,read,,,,1,0
25985840,"Ship of Magic (Liveship Traders, #1)",Robin Hobb,"Hobb, Robin",,"=""0008117454""","=""9780008117450""",5,4.21,Harper Voyager,Paperback,880,2015,1998,2021/12/25,2021/12/25,,,read,,,,1,0
6462121,"Mad Ship (Liveship Traders, #2)",Robin Hobb,"Hobb, Robin",,"=""""","=""""",5,4.30,Spectra,Kindle Edition,864,2003,1999,2022/01/06,2022/01/06,,,read,,,,1,0
41716919,"Jade War (The Green Bone Saga, #2)",Fonda Lee,"Lee, Fonda",,"=""0316440922""","=""9780316440929""",5,4.42,Orbit,Hardcover,587,2019,2019,2022/09/16,2022/09/16,,,read,,,,1,0
34606064,"Jade City (The Green Bone Saga, #1)",Fonda Lee,"Lee, Fonda",,"=""0316440868""","=""9780316440868""",5,4.10,Orbit,Hardcover,498,2017,2017,2022/04/30,2022/04/29,,,read,,,,1,0
57653196,"Jade Legacy (The Green Bone Saga, #3)",Fonda Lee,"Lee, Fonda",,"=""0316440973""","=""9780316440974""",5,4.65,Orbit,Hardcover,713,2021,2021,2022/09/28,2022/09/28,,,read,,,,1,0
49985,Thus Spoke Zarathustra,Friedrich Nietzsche,"Nietzsche, Friedrich",Walter Kaufmann,"=""0679601759""","=""9780679601753""",2,4.07,Modern Library,Hardcover,368,1995,1883,2022/09/25,2022/09/25,,,read,,,,1,0
40820208,Discrete Mathematics with Applications,Susanna S. Epp,"Epp, Susanna S.",,"=""1337694193""","=""9781337694193""",4,4.02,Cengage Learning,Hardcover,984,2019,1990,2022/09/20,2022/09/20,,,read,,,,1,0
412598,Basic Writings of Nietzsche,Friedrich Nietzsche,"Nietzsche, Friedrich",Walter Kaufmann,"=""0679600000""","=""9780679600008""",5,4.12,Modern Library,Hardcover,843,1992,1967,2022/09/12,2022/09/12,,,read,,,,1,0
13109291,"Blood of Dragons (Rain Wild Chronicles, #4)",Robin Hobb,"Hobb, Robin",,"=""0062116851""","=""9780062116857""",4,4.17,Harper Voyager,Hardcover,448,2013,2013,2022/09/04,2022/09/04,,,read,,,,1,0
568047,The Birth of Tragedy / The Case of Wagner,Friedrich Nietzsche,"Nietzsche, Friedrich",,"=""0394703693""","=""9780394703695""",2,4.17,Vintage Books (NY),Paperback,240,1967,1888,2022/08/28,2022/08/28,,,read,,,,1,0
18762032,Official GRE Quantitative Reasoning Practice Questions,Educational Testing Service,"Service, Educational Testing",,"=""007183432X""","=""9780071834322""",5,4.00,McGraw-Hill,Paperback,340,2014,2014,2016/05/20,2016/05/20,,,read,,,,1,0
132626,On the Genealogy of Morals / Ecce Homo,Friedrich Nietzsche,"Nietzsche, Friedrich","Walter Kaufmann, R.J. Hollingdale","=""0679724621""","=""9780679724629""",3,4.17,Vintage Bookx,Paperback,367,2010,1887,2022/08/13,2022/08/13,,,read,,,,1,0
55277083,"The Shadow of the Gods (The Bloodsworn Saga, #1)",John Gwynne,"Gwynne, John",,"=""0316539880""","=""9780316539883""",3,4.24,Orbit,Paperback,495,2021,2021,2022/01/22,2022/01/22,,,read,,,,1,0
10803540,Algorithms,Robert Sedgewick,"Sedgewick, Robert",Kevin Wayne,"=""032157351X""","=""9780321573513""",3,4.41,Addison-Wesley Professional,Hardcover,976,2011,1983,2022/07/30,2022/07/30,,,read,,,,1,0
307001,Calculus: Early Transcendentals,James Stewart,"Stewart, James",,"=""0495011665""","=""9780495011668""",5,3.97,Cengage Learning,Hardcover,1308,2007,1995,2022/07/12,2022/07/12,,,read,,,,1,0
79781,Basic Mathematics,Serge Lang,"Lang, Serge",,"=""0387967877""","=""9780387967875""",4,4.34,Springer,Paperback,496,1988,1988,2022/06/26,2022/06/25,,,read,,,,1,0
11998167,Algebra and Trigonometry,James Stewart,"Stewart, James","Lothar Redlin, Saleem Watson","=""0840068131""","=""9780840068132""",3,3.79,Cengage Learning,Hardcover,1040,2011,2000,2022/06/19,2022/06/19,,,read,,,,1,0
6430986,A Beginner's Guide to Nietzsche's Beyond Good and Evil,Gareth Southwell,"Southwell, Gareth",,"=""1405160047""","=""9781405160049""",4,4.17,Wiley-Blackwell,Hardcover,232,2009,2008,2022/05/31,2022/05/31,,,read,,,,1,0
18273,Beyond Good and Evil: Prelude to a Philosophy of the Future,Friedrich Nietzsche,"Nietzsche, Friedrich",Walter Kaufmann,"=""0394703375""","=""9780394703374""",4,4.03,Vintage Books,Paperback,256,1966,1886,2022/05/30,2022/05/30,,,read,,,,1,0
6388235,Zombie,Joyce Carol Oates,"Oates, Joyce Carol",,"=""0061778915""","=""9780061778919""",2,3.33,Ecco,Paperback,192,2009,1995,2022/03/02,2022/03/02,,,read,,,,1,0
